repo,language,count
redis/redis,C++/C,12
jqlang/jq,C++/C,9
nlohmann/json,C++/C,1
micropython/micropython,C++/C,5
valkey-io/valkey,C++/C,4
fmtlib/fmt,C++/C,11
caddyserver/caddy,Go,14
hashicorp/terraform,Go,5
prometheus/prometheus,Go,8
gohugoio/hugo,Go,7
gin-gonic/gin,Go,8
google/gson,Java,9
apache/druid,Java,5
projectlombok/lombok,Java,17
apache/lucene,Java,9
reactivex/rxjava,Java,1
javaparser/javaparser,Java,2
babel/babel,TypeScript/JavaScript,5
vuejs/core,TypeScript/JavaScript,5
facebook/docusaurus,TypeScript/JavaScript,5
immutable-js/immutable-js,TypeScript/JavaScript,2
mrdoob/three.js,TypeScript/JavaScript,3
preactjs/preact,TypeScript/JavaScript,17
axios/axios,TypeScript/JavaScript,6
phpoffice/phpspreadsheet,PHP,10
laravel/framework,PHP,13
php-cs-fixer/php-cs-fixer,PHP,10
briannesbitt/carbon,PHP,10
jekyll/jekyll,Ruby,5
fluent/fluentd,Ruby,12
fastlane/fastlane,Ruby,7
jordansissel/fpm,Ruby,2
faker-ruby/faker,Ruby,2
rubocop/rubocop,Ruby,16
tokio-rs/tokio,Rust,9
uutils/coreutils,Rust,5
nushell/nushell,Rust,5
tokio-rs/axum,Rust,7
burntsushi/ripgrep,Rust,2
sharkdp/bat,Rust,8
astral-sh/ruff,Rust,7
