instance_id,repo,language,has_stacktrace,split
astral-sh__ruff-15309,astral-sh/ruff,Rust,0,heldout
astral-sh__ruff-15330,astral-sh/ruff,Rust,0,heldout
astral-sh__ruff-15356,astral-sh/ruff,Rust,0,heldout
astral-sh__ruff-15443,astral-sh/ruff,Rust,0,heldout
astropy__astropy-12907,astropy/astropy,Python,0,fit
astropy__astropy-13033,astropy/astropy,Python,0,fit
astropy__astropy-13236,astropy/astropy,Python,0,fit
astropy__astropy-13579,astropy/astropy,Python,0,fit
axios__axios-4731,axios/axios,TypeScript/JavaScript,0,fit
axios__axios-4738,axios/axios,TypeScript/JavaScript,0,fit
axios__axios-5085,axios/axios,TypeScript/JavaScript,0,fit
axios__axios-6539,axios/axios,TypeScript/JavaScript,0,fit
babel__babel-13928,babel/babel,TypeScript/JavaScript,0,heldout
babel__babel-14532,babel/babel,TypeScript/JavaScript,0,heldout
babel__babel-15445,babel/babel,TypeScript/JavaScript,1,heldout
babel__babel-15649,babel/babel,TypeScript/JavaScript,0,heldout
caddyserver__caddy-4943,caddyserver/caddy,Go,0,heldout
caddyserver__caddy-5404,caddyserver/caddy,Go,0,heldout
caddyserver__caddy-5761,caddyserver/caddy,Go,0,heldout
caddyserver__caddy-5870,caddyserver/caddy,Go,0,heldout
caddyserver__caddy-6115,caddyserver/caddy,Go,0,heldout
facebook__docusaurus-10130,facebook/docusaurus,TypeScript/JavaScript,0,fit
facebook__docusaurus-10309,facebook/docusaurus,TypeScript/JavaScript,0,fit
facebook__docusaurus-8927,facebook/docusaurus,TypeScript/JavaScript,0,fit
facebook__docusaurus-9897,facebook/docusaurus,TypeScript/JavaScript,0,fit
fmtlib__fmt-2310,fmtlib/fmt,C++/C,0,fit
fmtlib__fmt-2317,fmtlib/fmt,C++/C,0,fit
fmtlib__fmt-3248,fmtlib/fmt,C++/C,0,fit
gin-gonic__gin-1805,gin-gonic/gin,Go,0,fit
gin-gonic__gin-2121,gin-gonic/gin,Go,0,fit
gin-gonic__gin-2755,gin-gonic/gin,Go,1,fit
gin-gonic__gin-3741,gin-gonic/gin,Go,0,fit
gin-gonic__gin-3820,gin-gonic/gin,Go,0,fit
gohugoio__hugo-12171,gohugoio/hugo,Go,0,heldout
gohugoio__hugo-12343,gohugoio/hugo,Go,0,heldout
gohugoio__hugo-12448,gohugoio/hugo,Go,0,heldout
gohugoio__hugo-12562,gohugoio/hugo,Go,0,heldout
gohugoio__hugo-12579,gohugoio/hugo,Go,0,heldout
hashicorp__terraform-34814,hashicorp/terraform,Go,0,heldout
hashicorp__terraform-35611,hashicorp/terraform,Go,0,heldout
jqlang__jq-2235,jqlang/jq,C++/C,0,heldout
jqlang__jq-2598,jqlang/jq,C++/C,0,heldout
jqlang__jq-2658,jqlang/jq,C++/C,0,heldout
jqlang__jq-2728,jqlang/jq,C++/C,0,heldout
jqlang__jq-2750,jqlang/jq,C++/C,0,heldout
matplotlib__matplotlib-13989,matplotlib/matplotlib,Python,0,heldout
matplotlib__matplotlib-14623,matplotlib/matplotlib,Python,0,heldout
matplotlib__matplotlib-20488,matplotlib/matplotlib,Python,0,heldout
matplotlib__matplotlib-20676,matplotlib/matplotlib,Python,0,heldout
micropython__micropython-10095,micropython/micropython,C++/C,1,fit
micropython__micropython-13039,micropython/micropython,C++/C,1,fit
micropython__micropython-13569,micropython/micropython,C++/C,1,fit
micropython__micropython-15898,micropython/micropython,C++/C,0,fit
nushell__nushell-12901,nushell/nushell,Rust,0,fit
nushell__nushell-12950,nushell/nushell,Rust,0,fit
nushell__nushell-13605,nushell/nushell,Rust,0,fit
nushell__nushell-13831,nushell/nushell,Rust,0,fit
preactjs__preact-2757,preactjs/preact,TypeScript/JavaScript,0,heldout
preactjs__preact-2896,preactjs/preact,TypeScript/JavaScript,0,heldout
preactjs__preact-2927,preactjs/preact,TypeScript/JavaScript,0,heldout
preactjs__preact-3567,preactjs/preact,TypeScript/JavaScript,0,heldout
prometheus__prometheus-10633,prometheus/prometheus,Go,0,fit
prometheus__prometheus-11859,prometheus/prometheus,Go,0,fit
prometheus__prometheus-14861,prometheus/prometheus,Go,1,fit
prometheus__prometheus-15142,prometheus/prometheus,Go,0,fit
pydata__xarray-2905,pydata/xarray,Python,0,heldout
pydata__xarray-3151,pydata/xarray,Python,0,heldout
pydata__xarray-3305,pydata/xarray,Python,0,heldout
pydata__xarray-6992,pydata/xarray,Python,0,heldout
redis__redis-10068,redis/redis,C++/C,0,heldout
redis__redis-10095,redis/redis,C++/C,0,heldout
redis__redis-11631,redis/redis,C++/C,0,heldout
redis__redis-11734,redis/redis,C++/C,0,heldout
redis__redis-13338,redis/redis,C++/C,0,heldout
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,Python,0,heldout
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,Python,0,heldout
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,Python,0,heldout
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,Python,1,heldout
sharkdp__bat-2201,sharkdp/bat,Rust,0,heldout
sharkdp__bat-2260,sharkdp/bat,Rust,0,heldout
sharkdp__bat-2650,sharkdp/bat,Rust,0,heldout
sharkdp__bat-3108,sharkdp/bat,Rust,0,heldout
sympy__sympy-11618,sympy/sympy,Python,0,fit
sympy__sympy-12096,sympy/sympy,Python,0,fit
sympy__sympy-12419,sympy/sympy,Python,0,fit
sympy__sympy-13031,sympy/sympy,Python,0,fit
tokio-rs__tokio-4898,tokio-rs/tokio,Rust,0,fit
tokio-rs__tokio-6551,tokio-rs/tokio,Rust,0,fit
tokio-rs__tokio-6603,tokio-rs/tokio,Rust,0,fit
tokio-rs__tokio-6752,tokio-rs/tokio,Rust,0,fit
uutils__coreutils-6575,uutils/coreutils,Rust,0,heldout
uutils__coreutils-6682,uutils/coreutils,Rust,0,heldout
uutils__coreutils-6690,uutils/coreutils,Rust,0,heldout
uutils__coreutils-6731,uutils/coreutils,Rust,0,heldout
valkey-io__valkey-1842,valkey-io/valkey,C++/C,0,heldout
valkey-io__valkey-790,valkey-io/valkey,C++/C,0,heldout
valkey-io__valkey-928,valkey-io/valkey,C++/C,0,heldout
vuejs__core-11589,vuejs/core,TypeScript/JavaScript,0,heldout
vuejs__core-11870,vuejs/core,TypeScript/JavaScript,0,heldout
vuejs__core-11915,vuejs/core,TypeScript/JavaScript,0,heldout
