instance_id,repo,language_group,bm25_span_coverage@50,bm25_span_coverage@100,bm25_span_coverage@200,bm25_span_coverage@500,bm25_span_coverage@1000,grep_candidate_count,grep_span_coverage,union100_span_coverage,planner_ms,bm25/bm25/span_recall@1,bm25/bm25/span_recall@5,bm25/bm25/span_recall@10,bm25/bm25/file_recall@5,bm25/bm25/span_mrr,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@1,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@10,bm25/Qwen/Qwen3-Reranker-0.6B/file_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_mrr,bm25/Qwen/Qwen3-Reranker-4B/span_recall@1,bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_recall@10,bm25/Qwen/Qwen3-Reranker-4B/file_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_mrr,bm25/typesafe/jev-1.13/span_recall@1,bm25/typesafe/jev-1.13/span_recall@5,bm25/typesafe/jev-1.13/span_recall@10,bm25/typesafe/jev-1.13/file_recall@5,bm25/typesafe/jev-1.13/span_mrr,grep/grep/span_recall@1,grep/grep/span_recall@5,grep/grep/span_recall@10,grep/grep/file_recall@5,grep/grep/span_mrr,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@1,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@10,grep/Qwen/Qwen3-Reranker-0.6B/file_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_mrr,grep/Qwen/Qwen3-Reranker-4B/span_recall@1,grep/Qwen/Qwen3-Reranker-4B/span_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_recall@10,grep/Qwen/Qwen3-Reranker-4B/file_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_mrr,grep/typesafe/jev-1.13/span_recall@1,grep/typesafe/jev-1.13/span_recall@5,grep/typesafe/jev-1.13/span_recall@10,grep/typesafe/jev-1.13/file_recall@5,grep/typesafe/jev-1.13/span_mrr,base_aligned/bm25/candidate_span_coverage,base_aligned/bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/bm25/typesafe/jev-1.13/span_recall@5,base_aligned/grep/candidate_span_coverage,base_aligned/grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/grep/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/grep/typesafe/jev-1.13/span_recall@5
astral-sh__ruff-15309,astral-sh/ruff,Rust,0.0,1.0,1.0,1.0,1.0,22,1.0,1.0,3538.3359026163816,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.023809523809523808,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
astral-sh__ruff-15330,astral-sh/ruff,Rust,1.0,1.0,1.0,1.0,1.0,4,0.0,1.0,4355.518059805036,0.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
astral-sh__ruff-15356,astral-sh/ruff,Rust,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,4357.992376200855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
astral-sh__ruff-15443,astral-sh/ruff,Rust,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,5244.670193642378,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
astropy__astropy-12907,astropy/astropy,Python,0.0,0.0,1.0,1.0,1.0,5,1.0,1.0,3298.410593532026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.2,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
astropy__astropy-13033,astropy/astropy,Python,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,3840.395546518266,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
astropy__astropy-13236,astropy/astropy,Python,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,3869.261797517538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
astropy__astropy-13579,astropy/astropy,Python,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,4217.335865832865,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
axios__axios-4731,axios/axios,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,2419.274816289544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
axios__axios-4738,axios/axios,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,3329.530636779964,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
