instance_id,repo,language_group,route,arm,candidate_count,candidate_span_coverage,span_recall@1,file_recall@5,span_recall@5,span_all@5,span_recall@10,span_mrr,retrieval_ms,rerank_ms,stage_sum_ms,rerank_recorded_cost_usd,failed_calls
astral-sh__ruff-15309,astral-sh/ruff,Rust,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,97.05169778317213,0.0,97.05169778317213,0.0,0
astral-sh__ruff-15330,astral-sh/ruff,Rust,bm25,unreranked,100,1.0,0.0,1.0,0.5,0.0,1.0,0.5,376.1220248416066,0.0,376.1220248416066,0.0,0
astral-sh__ruff-15356,astral-sh/ruff,Rust,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.1860174760222,0.0,669.1860174760222,0.0,0
astral-sh__ruff-15443,astral-sh/ruff,Rust,bm25,unreranked,100,1.0,0.0,0.5,0.5,0.0,0.5,0.5,248.33653774112463,0.0,248.33653774112463,0.0,0
astropy__astropy-12907,astropy/astropy,Python,bm25,unreranked,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,267.5481652840972,0.0,267.5481652840972,0.0,0
astropy__astropy-13033,astropy/astropy,Python,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,646.2220912799239,0.0,646.2220912799239,0.0,0
astropy__astropy-13236,astropy/astropy,Python,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,556.6371669992805,0.0,556.6371669992805,0.0,0
astropy__astropy-13579,astropy/astropy,Python,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,1846.2864281609654,0.0,1846.2864281609654,0.0,0
axios__axios-4731,axios/axios,TypeScript/JavaScript,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.67560275644064,0.0,11.67560275644064,0.0,0
axios__axios-4738,axios/axios,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,15.89482743293047,0.0,15.89482743293047,0.0,0
axios__axios-5085,axios/axios,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.5,0.0,0.0,0.0,0.023809523809523808,8.085216395556927,0.0,8.085216395556927,0.0,0
axios__axios-6539,axios/axios,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,15.311221592128277,0.0,15.311221592128277,0.0,0
babel__babel-13928,babel/babel,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,92.4942847341299,0.0,92.4942847341299,0.0,0
babel__babel-14532,babel/babel,TypeScript/JavaScript,bm25,unreranked,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.01391924917698,0.0,180.01391924917698,0.0,0
babel__babel-15445,babel/babel,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,515.2314240112901,0.0,515.2314240112901,0.0,0
babel__babel-15649,babel/babel,TypeScript/JavaScript,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.90400441735983,0.0,127.90400441735983,0.0,0
caddyserver__caddy-4943,caddyserver/caddy,Go,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,113.51753398776054,0.0,113.51753398776054,0.0,0
caddyserver__caddy-5404,caddyserver/caddy,Go,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.0,0.05,129.33858763426542,0.0,129.33858763426542,0.0,0
caddyserver__caddy-5761,caddyserver/caddy,Go,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,13.825741596519947,0.0,13.825741596519947,0.0,0
caddyserver__caddy-5870,caddyserver/caddy,Go,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,80.19120246171951,0.0,80.19120246171951,0.0,0
caddyserver__caddy-6115,caddyserver/caddy,Go,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,70.63622586429119,0.0,70.63622586429119,0.0,0
facebook__docusaurus-10130,facebook/docusaurus,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.2,168.85207686573267,0.0,168.85207686573267,0.0,0
