language_group,repo,instance_id,changed_loc,difficulty_level,rank_in_repo,total_in_repo
Rust,astral-sh/ruff,astral-sh__ruff-15443,10,low,3,7
Rust,astral-sh/ruff,astral-sh__ruff-15626,14,medium,4,7
Rust,astral-sh/ruff,astral-sh__ruff-15309,20,high,5,7
JS/TS,axios/axios,axios__axios-4731,3,low,2,6
JS/TS,axios/axios,axios__axios-6539,4,medium,3,6
JS/TS,axios/axios,axios__axios-5085,16,high,5,6
JS/TS,babel/babel,babel__babel-13928,2,low,2,5
JS/TS,babel/babel,babel__babel-14532,2,medium,3,5
JS/TS,babel/babel,babel__babel-15445,2,high,4,5
C/C++,fmtlib/fmt,fmtlib__fmt-1683,5,low,3,11
C/C++,fmtlib/fmt,fmtlib__fmt-2310,8,medium,6,11
C/C++,fmtlib/fmt,fmtlib__fmt-2457,54,high,9,11
C/C++,jqlang/jq,jqlang__jq-2728,5,low,3,9
C/C++,jqlang/jq,jqlang__jq-2919,32,medium,5,9
C/C++,jqlang/jq,jqlang__jq-2750,781,high,7,9
C/C++,micropython/micropython,micropython__micropython-15898,2,low,2,5
C/C++,micropython/micropython,micropython__micropython-10095,8,medium,3,5
C/C++,micropython/micropython,micropython__micropython-13569,11,high,4,5
JS/TS,mrdoob/three.js,mrdoob__three.js-25687,3,low,1,3
JS/TS,mrdoob/three.js,mrdoob__three.js-26589,6,medium,2,3
JS/TS,mrdoob/three.js,mrdoob__three.js-27395,18,high,3,3
Rust,nushell/nushell,nushell__nushell-13246,11,low,2,5
Rust,nushell/nushell,nushell__nushell-12950,15,medium,3,5
Rust,nushell/nushell,nushell__nushell-13605,22,high,4,5
JS/TS,preactjs/preact,preactjs__preact-3062,3,low,5,17
JS/TS,preactjs/preact,preactjs__preact-4316,7,medium,9,17
JS/TS,preactjs/preact,preactjs__preact-3689,15,high,13,17
C/C++,redis/redis,redis__redis-12472,4,low,4,12
C/C++,redis/redis,redis__redis-11279,15,medium,7,12
C/C++,redis/redis,redis__redis-12272,19,high,9,12
Rust,sharkdp/bat,sharkdp__bat-562,3,low,3,8
Rust,sharkdp/bat,sharkdp__bat-3108,25,medium,5,8
Rust,sharkdp/bat,sharkdp__bat-2835,70,high,6,8
Rust,tokio-rs/axum,tokio-rs__axum-1730,51,low,3,7
Rust,tokio-rs/axum,tokio-rs__axum-1934,64,medium,4,7
Rust,tokio-rs/axum,tokio-rs__axum-682,79,high,5,7
Rust,tokio-rs/tokio,tokio-rs__tokio-4384,5,low,3,9
Rust,tokio-rs/tokio,tokio-rs__tokio-4898,7,medium,5,9
Rust,tokio-rs/tokio,tokio-rs__tokio-6724,12,high,7,9
C/C++,valkey-io/valkey,valkey-io__valkey-1842,3,low,2,4
C/C++,valkey-io/valkey,valkey-io__valkey-928,11,medium,3,4
C/C++,valkey-io/valkey,valkey-io__valkey-790,66,high,4,4
JS/TS,vuejs/core,vuejs__core-11589,9,low,2,5
JS/TS,vuejs/core,vuejs__core-11870,11,medium,3,5
JS/TS,vuejs/core,vuejs__core-11899,31,high,4,5
Python,django/django,django__django-12184,3,low,29,114
Python,django/django,django__django-12856,6,medium,57,114
Python,django/django,django__django-11422,10,high,86,114
Python,mwaskom/seaborn,mwaskom__seaborn-3407,4,low,2,4
Python,mwaskom/seaborn,mwaskom__seaborn-3010,5,medium,3,4
Python,mwaskom/seaborn,mwaskom__seaborn-2848,7,high,4,4
Python,psf/requests,psf__requests-2674,4,low,2,6
Python,psf/requests,psf__requests-1963,5,medium,3,6
Python,psf/requests,psf__requests-863,6,high,5,6
Python,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14983,5,low,7,23
Python,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14087,9,medium,12,23
Python,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13497,14,high,17,23
Python,sympy/sympy,sympy__sympy-19487,3,low,20,77
Python,sympy/sympy,sympy__sympy-16281,7,medium,39,77
Python,sympy/sympy,sympy__sympy-14024,12,high,58,77
